Title,Price,Rating,URL
"HP 15, 13th Gen Intel Core i5-1334U Laptop (16GB DDR4,512GB SSD) Anti-Glare, Micro-edge,15.6''/39.6cm, FHD, Win11,M365,Office24, Silver,1.59kg, Iris Xe Graphics, FHD Camera w/privacy shutter, fd0577TU","55,990.",3.7 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozODI4Mjk2MTQyODYzNjUxOjE3NTMyNzgzNDg6c3BfYXRmOjMwMDU1OTY2MTEwNTgzMjo6MDo6&url=%2FHP-i5-1334U-Anti-Glare-Micro-edge-fd0577TU%2Fdp%2FB0F4R6H3NB%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.M0_PULbahq9eDJGt0weR7KE1NNVKWSgyRb2hrWspVVLLxrwOLIU1qqBRWbvmsmiUcI5DHHNbm2F2do9s4NgP9ts4twK-OWMHLGhJde6P4md-aOAeYrtYZTzSQqXY8ZwHI_3hx_tcd6bjYNVDMdWvwBjF45f4FeFg8w_6tJqlAidBxfsu5ULlsKesIHN_nVnnnME6avoKZT1I7X5Y7hPv3eqCPcM4xX6LkGJ_N6mw1p4.LGZHWU_Q29pxOdni-wLi9K0TRfNABG29cjNQZvPaW78%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1753278348%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&sp_cr=DUB
"HP 15, 13th Gen Intel Core i7-1355U (16GB DDR4, 512GB SSD) FHD, Anti-Glare, 15.6’’/39.6cm, Win11, M365(1yr)* Office 24, Silver, 1.59kg, Iris Xe, FHD Camera w/Shutter, Backlit Laptop fd0468tu/fd0515tu","65,990.",3.7 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozODI4Mjk2MTQyODYzNjUxOjE3NTMyNzgzNDg6c3BfYXRmOjMwMDYyNTI5OTE1MzkzMjo6MDo6&url=%2FHP-i7-1355U-Anti-Glare-fd0468tu-fd0515tu%2Fdp%2FB0DTTS34NW%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.M0_PULbahq9eDJGt0weR7KE1NNVKWSgyRb2hrWspVVLLxrwOLIU1qqBRWbvmsmiUcI5DHHNbm2F2do9s4NgP9ts4twK-OWMHLGhJde6P4md-aOAeYrtYZTzSQqXY8ZwHI_3hx_tcd6bjYNVDMdWvwBjF45f4FeFg8w_6tJqlAidBxfsu5ULlsKesIHN_nVnnnME6avoKZT1I7X5Y7hPv3eqCPcM4xX6LkGJ_N6mw1p4.LGZHWU_Q29pxOdni-wLi9K0TRfNABG29cjNQZvPaW78%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1753278348%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&sp_cr=DUB
HP 255 G10 ‎‎Laptop (AMD Athlon Silver 7120U/ 8GB RAM / 256GB SSD/Windows 11/15.6 INCH ASH Silver,"22,390.",3.9 out of 5 stars,https://www.amazon.in/HP-%E2%80%8E%E2%80%8ELaptop-Athlon-Silver-Windows/dp/B0DV984J97/ref=sr_1_3?dib=eyJ2IjoiMSJ9.M0_PULbahq9eDJGt0weR7KE1NNVKWSgyRb2hrWspVVLLxrwOLIU1qqBRWbvmsmiUcI5DHHNbm2F2do9s4NgP9ts4twK-OWMHLGhJde6P4md-aOAeYrtYZTzSQqXY8ZwHI_3hx_tcd6bjYNVDMdWvwBjF45f4FeFg8w_6tJqlAidBxfsu5ULlsKesIHN_nVnnnME6avoKZT1I7X5Y7hPv3eqCPcM4xX6LkGJ_N6mw1p4.LGZHWU_Q29pxOdni-wLi9K0TRfNABG29cjNQZvPaW78&dib_tag=se&keywords=laptop&qid=1753278348&sr=8-3
"HP 15, AMD Ryzen 3 7320U (8GB LPDDR5, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6""/39.6cm, Win 11, Office 21, Silver, 1.59kg, fc0154AU, AMD Radeon Graphics, 1080p FHD Camera Laptop","30,750.",4.0 out of 5 stars,https://www.amazon.in/HP-Laptop-15-6-inch-Graphics-fc0154AU/dp/B0D3HG5CMG/ref=sr_1_4?dib=eyJ2IjoiMSJ9.M0_PULbahq9eDJGt0weR7KE1NNVKWSgyRb2hrWspVVLLxrwOLIU1qqBRWbvmsmiUcI5DHHNbm2F2do9s4NgP9ts4twK-OWMHLGhJde6P4md-aOAeYrtYZTzSQqXY8ZwHI_3hx_tcd6bjYNVDMdWvwBjF45f4FeFg8w_6tJqlAidBxfsu5ULlsKesIHN_nVnnnME6avoKZT1I7X5Y7hPv3eqCPcM4xX6LkGJ_N6mw1p4.LGZHWU_Q29pxOdni-wLi9K0TRfNABG29cjNQZvPaW78&dib_tag=se&keywords=laptop&qid=1753278348&sr=8-4
"Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey","59,990.",4.6 out of 5 stars,https://www.amazon.in/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5W4NNB/ref=sr_1_5?dib=eyJ2IjoiMSJ9.M0_PULbahq9eDJGt0weR7KE1NNVKWSgyRb2hrWspVVLLxrwOLIU1qqBRWbvmsmiUcI5DHHNbm2F2do9s4NgP9ts4twK-OWMHLGhJde6P4md-aOAeYrtYZTzSQqXY8ZwHI_3hx_tcd6bjYNVDMdWvwBjF45f4FeFg8w_6tJqlAidBxfsu5ULlsKesIHN_nVnnnME6avoKZT1I7X5Y7hPv3eqCPcM4xX6LkGJ_N6mw1p4.LGZHWU_Q29pxOdni-wLi9K0TRfNABG29cjNQZvPaW78&dib_tag=se&keywords=laptop&qid=1753278348&sr=8-5
